Entity,Code,Date,2020,Media 2015-2019,2015,2016,2017,2018,2019,2021
Austria,AUT,05/01/2020,1611,1809,1704,1634,2293,1767,1647,
Austria,AUT,12/01/2020,1702,1857,1768,1626,2340,1842,1709,
Austria,AUT,19/01/2020,1797,1786,1837,1608,2060,1786,1641,
Austria,AUT,26/01/2020,1779,1747,1792,1578,1938,1714,1713,
Austria,AUT,02/02/2020,1947,1819,1837,1609,2045,1870,1732,
Austria,AUT,09/02/2020,1681,1837,1926,1650,1874,1938,1796,
Austria,AUT,16/02/2020,1721,1813,1992,1621,1750,1881,1820,
Austria,AUT,23/02/2020,1718,1822,2020,1581,1807,1951,1751,
Austria,AUT,01/03/2020,1768,1816,1883,1714,1696,2021,1764,
Austria,AUT,08/03/2020,1744,1754,1846,1532,1614,1965,1811,
Austria,AUT,15/03/2020,1718,1711,1763,1516,1542,1946,1790,
Austria,AUT,22/03/2020,1836,1598,1696,1499,1535,1641,1619,
Austria,AUT,29/03/2020,1765,1646,1725,1598,1489,1766,1651,
Austria,AUT,05/04/2020,1828,1585,1604,1562,1537,1617,1607,
Austria,AUT,12/04/2020,1793,1546,1563,1520,1532,1560,1556,
Austria,AUT,19/04/2020,1704,1523,1614,1413,1475,1557,1558,
Austria,AUT,26/04/2020,1588,1470,1547,1460,1440,1383,1521,
Austria,AUT,03/05/2020,1480,1465,1453,1447,1527,1434,1462,
Austria,AUT,10/05/2020,1520,1439,1452,1486,1434,1372,1453,
Austria,AUT,17/05/2020,1489,1463,1461,1453,1501,1342,1558,
Austria,AUT,24/05/2020,1481,1422,1396,1505,1327,1383,1497,
Austria,AUT,31/05/2020,1418,1414,1304,1402,1456,1415,1495,
Austria,AUT,07/06/2020,1490,1412,1437,1360,1312,1433,1520,
Austria,AUT,14/06/2020,1461,1443,1502,1348,1421,1392,1554,
Austria,AUT,21/06/2020,1413,1408,1285,1452,1476,1401,1424,
Austria,AUT,28/06/2020,1437,1400,1374,1338,1419,1414,1454,
Austria,AUT,05/07/2020,1561,1435,1487,1328,1413,1441,1507,
Austria,AUT,12/07/2020,1383,1377,1476,1323,1346,1404,1338,
Austria,AUT,19/07/2020,1443,1470,1475,1458,1475,1511,1430,
Austria,AUT,26/07/2020,1452,1489,1633,1424,1375,1455,1557,
Austria,AUT,02/08/2020,1527,1505,1446,1390,1616,1615,1457,
Austria,AUT,09/08/2020,1433,1426,1500,1359,1334,1532,1406,
Austria,AUT,16/08/2020,1607,1461,1692,1394,1380,1430,1407,
Austria,AUT,23/08/2020,1477,1434,1376,1408,1472,1460,1453,
Austria,AUT,30/08/2020,1498,1427,1476,1414,1329,1414,1501,
Austria,AUT,06/09/2020,1523,1377,1389,1380,1318,1376,1423,
Austria,AUT,13/09/2020,1568,1425,1447,1392,1426,1452,1407,
Austria,AUT,20/09/2020,1569,1423,1459,1376,1407,1421,1452,
Austria,AUT,27/09/2020,1532,1472,1410,1442,1496,1436,1574,
Austria,AUT,04/10/2020,1584,1510,1494,1469,1481,1553,1555,
Austria,AUT,11/10/2020,1624,1519,1409,1556,1529,1509,1592,
Austria,AUT,18/10/2020,1618,1505,1481,1607,1453,1488,1497,
Austria,AUT,25/10/2020,1777,1509,1498,1522,1489,1491,1545,
Austria,AUT,01/11/2020,1895,1513,1433,1484,1551,1561,1536,
Austria,AUT,08/11/2020,2005,1509,1460,1541,1490,1501,1555,
Austria,AUT,15/11/2020,2285,1552,1527,1616,1505,1556,1558,
Austria,AUT,22/11/2020,2409,1538,1486,1550,1570,1531,1553,
Austria,AUT,29/11/2020,2431,1546,1488,1601,1531,1525,1586,
Austria,AUT,06/12/2020,2540,1603,1509,1619,1632,1656,1599,
Austria,AUT,13/12/2020,2457,1607,1517,1670,1554,1626,1667,
Austria,AUT,20/12/2020,2250,1654,1538,1847,1653,1639,1591,
Austria,AUT,27/12/2020,2114,1735,1545,2160,1646,1689,1636,
Belgium,BEL,05/01/2020,2234,2390,2461,2244,2557,2382,2308,
Belgium,BEL,12/01/2020,2400,2432,2525,2234,2735,2317,2347,
Belgium,BEL,19/01/2020,2322,2423,2526,2295,2645,2336,2312,
Belgium,BEL,26/01/2020,2212,2422,2510,2263,2691,2253,2395,
Belgium,BEL,02/02/2020,2373,2510,2644,2180,2950,2355,2421,
Belgium,BEL,09/02/2020,2179,2488,2727,2127,2691,2353,2544,
Belgium,BEL,16/02/2020,2318,2524,2892,2121,2631,2565,2409,
Belgium,BEL,23/02/2020,2314,2488,2774,2230,2389,2628,2418,
Belgium,BEL,01/03/2020,2257,2545,2643,2336,2315,3002,2428,
Belgium,BEL,08/03/2020,2229,2453,2457,2264,2138,3016,2389,
Belgium,BEL,15/03/2020,2248,2345,2380,2248,2036,2724,2335,
Belgium,BEL,22/03/2020,2570,2322,2380,2364,2106,2594,2167,
Belgium,BEL,29/03/2020,3196,2227,2270,2273,2068,2460,2063,
Belgium,BEL,05/04/2020,4024,2120,2163,2080,1969,2203,2183,
Belgium,BEL,12/04/2020,4288,2095,2218,2160,1954,2175,1969,
Belgium,BEL,19/04/2020,3702,2051,2152,2049,1917,2044,2095,
Belgium,BEL,26/04/2020,3036,2032,2087,1996,2079,1953,2046,
Belgium,BEL,03/05/2020,2416,2012,2005,2087,2091,1867,2011,
Belgium,BEL,10/05/2020,2382,2030,2063,2065,2009,1980,2034,
Belgium,BEL,17/05/2020,2041,1981,1976,1926,2110,1860,2034,
Belgium,BEL,24/05/2020,2072,1970,1950,1946,2009,1951,1995,
Belgium,BEL,31/05/2020,1979,1931,1905,1885,1981,1953,1933,
Belgium,BEL,07/06/2020,1793,1878,1942,1856,1815,1811,1966,
Belgium,BEL,14/06/2020,1894,1861,2003,1851,1868,1734,1847,
Belgium,BEL,21/06/2020,1814,1923,1900,1920,2101,1779,1913,
Belgium,BEL,28/06/2020,1960,1897,1888,1846,1821,1950,1980,
Belgium,BEL,05/07/2020,1764,2023,2301,1899,1901,2080,1935,
Belgium,BEL,12/07/2020,1679,1862,1908,1933,1847,1833,1788,
Belgium,BEL,19/07/2020,1846,1905,1797,2030,1827,1988,1882,
Belgium,BEL,26/07/2020,1802,1996,1740,1917,1897,2107,2318,
Belgium,BEL,02/08/2020,1943,1885,1777,1801,1808,2125,1916,
Belgium,BEL,09/08/2020,2035,1875,1997,1788,1826,2000,1766,
