Entity,Stato,Code,Median Age,Date,Week,2020,2015-2019,2015,2016,2017,2018,2019,2021
Albania,Albania,ALB,34,3,31/01/2020,4,2187,2448,2490,2065,3129,2158,2397,3002
Albania,Albania,ALB,34,3,29/02/2020,8,2018,1975,2139,1905,1845,2013,1974,3773
Albania,Albania,ALB,34,3,31/03/2020,13,1993,1981,2051,1910,1817,2136,1990,3447
Albania,Albania,ALB,34,3,30/04/2020,17,1804,1748,1906,1652,1665,1828,1687,2419
Albania,Albania,ALB,34,3,31/05/2020,22,1803,1699,1709,1716,1660,1664,1744,1874
Albania,Albania,ALB,34,3,30/06/2020,26,1779,1628,1561,1678,1605,1576,1718,1822
Albania,Albania,ALB,34,3,31/07/2020,30,2166,1765,2008,1643,1788,1641,1744,1820
Albania,Albania,ALB,34,3,31/08/2020,35,2476,1708,1687,1578,1833,1709,1734,2080
Albania,Albania,ALB,34,3,30/09/2020,39,1982,1532,1569,1459,1482,1621,1528,2506
Albania,Albania,ALB,34,3,31/10/2020,43,2403,1665,1560,1743,1679,1668,1673,2559
Albania,Albania,ALB,34,3,30/11/2020,48,3854,1764,1728,1855,1716,1730,1792,2506
Albania,Albania,ALB,34,3,31/12/2020,52,3140,2045,2010,2184,2013,2060,1956,2772
Algeria,Algeria,DZA,28,9,31/01/2020,4,17195,17097,,,,16409,17784,
Algeria,Algeria,DZA,28,9,29/02/2020,8,15810,15370,,,,15409,15331,
Algeria,Algeria,DZA,28,9,31/03/2020,13,15882,15297,,,,15227,15367,
Algeria,Algeria,DZA,28,9,30/04/2020,17,15020,14324,,,,14182,14465,
Algeria,Algeria,DZA,28,9,31/05/2020,22,14833,14312,,,,14159,14465,
Algeria,Algeria,DZA,28,9,30/06/2020,26,18100,13950,,,,13614,14285,
Algeria,Algeria,DZA,28,9,31/07/2020,30,32170,14729,,,,14704,14753,
Algeria,Algeria,DZA,28,9,31/08/2020,35,23413,14724,,,,14477,14970,
Algeria,Algeria,DZA,28,9,30/09/2020,39,17043,13766,,,,13500,14032,
Algeria,Algeria,DZA,28,9,31/10/2020,43,18665,14759,,,,14727,14790,
Algeria,Algeria,DZA,28,9,30/11/2020,48,26100,14976,,,,14909,15042,
Algeria,Algeria,DZA,28,9,31/12/2020,52,21397,15989,,,,15818,16160,
Andorra,Andorra,AND,46,2,31/01/2020,4,34,33,22,27,49,38,29,
Andorra,Andorra,AND,46,2,29/02/2020,8,37,26,25,21,29,28,29,
Andorra,Andorra,AND,46,2,31/03/2020,13,40,31,29,31,39,36,19,
Andorra,Andorra,AND,46,2,30/04/2020,17,60,23,26,19,22,21,26,
Andorra,Andorra,AND,46,2,31/05/2020,22,36,20,26,22,17,16,19,
Andorra,Andorra,AND,46,2,30/06/2020,26,26,24,16,25,26,31,23,
Andorra,Andorra,AND,46,2,31/07/2020,30,29,26,27,32,17,23,30,
Andorra,Andorra,AND,46,2,31/08/2020,35,19,24,18,34,18,30,18,
Andorra,Andorra,AND,46,2,30/09/2020,39,27,24,25,16,23,30,24,
Andorra,Andorra,AND,46,2,31/10/2020,43,51,26,25,24,24,33,23,
Andorra,Andorra,AND,46,2,30/11/2020,48,19,25,16,24,29,24,30,
Andorra,Andorra,AND,46,2,31/12/2020,52,41,30,27,35,30,25,31,
Antigua/Barbuda,Antigua/Barbuda,ATG,32,7,31/01/2020,4,50,42,36,31,42,37,63,
Antigua/Barbuda,Antigua/Barbuda,ATG,32,7,29/02/2020,8,47,50,53,49,49,40,61,
Antigua/Barbuda,Antigua/Barbuda,ATG,32,7,31/03/2020,13,60,55,60,57,52,60,45,
Antigua/Barbuda,Antigua/Barbuda,ATG,32,7,30/04/2020,17,49,44,20,60,41,60,40,
Antigua/Barbuda,Antigua/Barbuda,ATG,32,7,31/05/2020,22,52,46,46,34,54,58,38,
Antigua/Barbuda,Antigua/Barbuda,ATG,32,7,30/06/2020,26,42,46,44,43,38,42,63,
Antigua/Barbuda,Antigua/Barbuda,ATG,32,7,31/07/2020,30,46,42,37,23,43,53,54,
Antigua/Barbuda,Antigua/Barbuda,ATG,32,7,31/08/2020,35,44,54,55,61,49,48,57,
Antigua/Barbuda,Antigua/Barbuda,ATG,32,7,30/09/2020,39,45,47,49,38,45,54,51,
Antigua/Barbuda,Antigua/Barbuda,ATG,32,7,31/10/2020,43,50,51,49,52,68,44,44,
Antigua/Barbuda,Antigua/Barbuda,ATG,32,7,30/11/2020,48,49,48,50,55,43,42,48,
Antigua/Barbuda,Antigua/Barbuda,ATG,32,7,31/12/2020,52,40,45,34,45,49,43,54,
Argentina,Argentina,ARG,32,4,31/01/2020,4,25571,26433,25583,27557,26724,26030,26271,
Argentina,Argentina,ARG,32,4,29/02/2020,8,24212,23825,22728,25416,23774,23518,23688,
Argentina,Argentina,ARG,32,4,31/03/2020,13,25639,26001,25145,27008,26151,25683,26020,
Argentina,Argentina,ARG,32,4,30/04/2020,17,24959,25952,25853,27181,25852,25290,25582,
Argentina,Argentina,ARG,32,4,31/05/2020,22,27541,29380,27580,33201,30063,27672,28383,
Argentina,Argentina,ARG,32,4,30/06/2020,26,28899,33176,29490,36135,37443,31395,31418,
Argentina,Argentina,ARG,32,4,31/07/2020,30,36033,34449,33369,34452,34769,33618,36035,
Argentina,Argentina,ARG,32,4,31/08/2020,35,37052,31870,31822,31338,29995,33721,32472,
Argentina,Argentina,ARG,32,4,30/09/2020,39,39973,29251,29911,29597,27287,29980,29481,
Argentina,Argentina,ARG,32,4,31/10/2020,43,42554,28091,28582,27872,27939,27702,28362,
Argentina,Argentina,ARG,32,4,30/11/2020,48,35421,25376,25482,25537,25066,25250,25543,
Argentina,Argentina,ARG,32,4,31/12/2020,52,31141,24308,25016,24823,24215,23650,23836,
Armenia,Armenia,ARM,36,6,31/01/2020,4,2567,2728,2582,2722,3027,2534,2773,3014
Armenia,Armenia,ARM,36,6,29/02/2020,8,2434,2380,2363,2576,2442,2273,2247,2418
Armenia,Armenia,ARM,36,6,31/03/2020,13,2288,2450,2763,2349,2568,2215,2353,2836
Armenia,Armenia,ARM,36,6,30/04/2020,17,2156,2220,2442,2243,2246,1968,2203,3361
Armenia,Armenia,ARM,36,6,31/05/2020,22,2103,2254,2197,2247,2323,2220,2285,2633
Armenia,Armenia,ARM,36,6,30/06/2020,26,2869,2078,2288,2169,2103,1902,1929,2290
Armenia,Armenia,ARM,36,6,31/07/2020,30,2719,2152,2176,2103,2063,2347,2069,2247
Armenia,Armenia,ARM,36,6,31/08/2020,35,2106,2083,2149,2127,2174,1972,1994,2241
Armenia,Armenia,ARM,36,6,30/09/2020,39,2042,1812,1949,1891,1712,1704,1802,2559
Armenia,Armenia,ARM,36,6,31/10/2020,43,3632,2115,2101,2233,2142,2086,2014,3462
Armenia,Armenia,ARM,36,6,30/11/2020,48,6060,2317,2349,2476,2263,2317,2179,4577
Armenia,Armenia,ARM,36,6,31/12/2020,52,4395,2459,2485,2993,2304,2107,2404,3001
