Entity,Stato,Code,Date,2021,Media 2015-2019,2015,2016,2017,2018,2019,2020,Median Age
Albania,Albania,ALB,31/01/2021,3002,2448,2490,2065,3129,2158,2397,2187,34.3
Albania,Albania,ALB,28/02/2021,3773,1975,2139,1905,1845,2013,1974,2018,34.3
Albania,Albania,ALB,31/03/2021,3447,1981,2051,1910,1817,2136,1990,1993,34.3
Albania,Albania,ALB,30/04/2021,2419,1748,1906,1652,1665,1828,1687,1804,34.3
Albania,Albania,ALB,31/05/2021,1874,1699,1709,1716,1660,1664,1744,1803,34.3
Albania,Albania,ALB,30/06/2021,1822,1628,1561,1678,1605,1576,1718,1779,34.3
Albania,Albania,ALB,31/07/2021,1820,1765,2008,1643,1788,1641,1744,2166,34.3
Albania,Albania,ALB,31/08/2021,2080,1708,1687,1578,1833,1709,1734,2476,34.3
Albania,Albania,ALB,30/09/2021,2506,1532,1569,1459,1482,1621,1528,1982,34.3
Albania,Albania,ALB,31/10/2021,2559,1665,1560,1743,1679,1668,1673,2403,34.3
Albania,Albania,ALB,30/11/2021,2506,1764,1728,1855,1716,1730,1792,3854,34.3
Albania,Albania,ALB,31/12/2021,2772,2045,2010,2184,2013,2060,1956,3140,34.3
Armenia,Armenia,ARM,31/01/2021,3014,2728,2582,2722,3027,2534,2773,2567,36.6
Armenia,Armenia,ARM,28/02/2021,2418,2380,2363,2576,2442,2273,2247,2434,36.6
Armenia,Armenia,ARM,31/03/2021,2836,2450,2763,2349,2568,2215,2353,2288,36.6
Armenia,Armenia,ARM,30/04/2021,3361,2220,2442,2243,2246,1968,2203,2156,36.6
Armenia,Armenia,ARM,31/05/2021,2633,2254,2197,2247,2323,2220,2285,2103,36.6
Armenia,Armenia,ARM,30/06/2021,2290,2078,2288,2169,2103,1902,1929,2869,36.6
Armenia,Armenia,ARM,31/07/2021,2247,2152,2176,2103,2063,2347,2069,2719,36.6
Armenia,Armenia,ARM,31/08/2021,2241,2083,2149,2127,2174,1972,1994,2106,36.6
Armenia,Armenia,ARM,30/09/2021,2559,1812,1949,1891,1712,1704,1802,2042,36.6
Armenia,Armenia,ARM,31/10/2021,3462,2115,2101,2233,2142,2086,2014,3632,36.6
Armenia,Armenia,ARM,30/11/2021,4577,2317,2349,2476,2263,2317,2179,6060,36.6
Armenia,Armenia,ARM,31/12/2021,3001,2459,2485,2993,2304,2107,2404,4395,36.6
Aruba,Aruba,ABW,31/01/2021,66,60,51,64,66,70,49,69,41.0
Aruba,Aruba,ABW,28/02/2021,86,60,55,64,62,63,55,56,41.0
Aruba,Aruba,ABW,31/03/2021,79,60,57,70,50,60,64,74,41.0
Aruba,Aruba,ABW,30/04/2021,94,62,63,71,58,66,50,60,41.0
Aruba,Aruba,ABW,31/05/2021,69,64,62,80,63,62,55,47,41.0
Aruba,Aruba,ABW,30/06/2021,46,54,47,62,61,49,52,60,41.0
Aruba,Aruba,ABW,31/07/2021,70,57,42,63,58,65,56,47,41.0
Aruba,Aruba,ABW,31/08/2021,116,58,55,62,63,55,53,63,41.0
Aruba,Aruba,ABW,30/09/2021,91,54,53,50,63,46,56,82,41.0
Australia,Australia,AUS,05/01/2021,2920,2849,2836,2803,2854,2807,2947,2803,37.5
Australia,Australia,AUS,12/01/2021,2838,2840,2673,2884,2878,2787,2979,2818,37.5
Australia,Australia,AUS,19/01/2021,3016,2812,2672,2841,2785,2778,2986,2810,37.5
Australia,Australia,AUS,26/01/2021,2849,2790,2657,2661,2849,2847,2938,2925,37.5
Australia,Australia,AUS,02/02/2021,2999,2796,2561,2856,2766,2915,2882,2817,37.5
Australia,Australia,AUS,09/02/2021,2867,2801,2776,2694,2885,2707,2944,2844,37.5
Australia,Australia,AUS,16/02/2021,2844,2810,2693,2734,2844,2807,2971,2936,37.5
Australia,Australia,AUS,23/02/2021,2977,2839,2620,2733,2939,2844,3057,2938,37.5
Australia,Australia,AUS,01/03/2021,2955,2837,2727,2704,2878,2885,2989,3011,37.5
Australia,Australia,AUS,08/03/2021,3040,2880,2766,2796,3044,2879,2914,2919,37.5
Australia,Australia,AUS,15/03/2021,3004,2815,2647,2757,2784,2902,2987,2892,37.5
Australia,Australia,AUS,22/03/2021,2983,2868,2766,2866,2918,2860,2929,3024,37.5
Australia,Australia,AUS,29/03/2021,3005,2868,2744,2825,2829,2940,3001,3106,37.5
Australia,Australia,AUS,05/04/2021,2897,2887,2754,2944,3007,2771,2960,3211,37.5
Australia,Australia,AUS,12/04/2021,3192,2931,2841,2926,2950,2858,3082,3123,37.5
Australia,Australia,AUS,19/04/2021,3167,2952,2802,2881,3020,3005,3054,3006,37.5
Australia,Australia,AUS,26/04/2021,3172,2925,2920,2875,2996,2831,3001,3032,37.5
Australia,Australia,AUS,03/05/2021,3325,2973,2983,2853,2953,3029,3048,2981,37.5
Australia,Australia,AUS,10/05/2021,3286,3109,3079,2970,3120,3154,3224,3152,37.5
Australia,Australia,AUS,17/05/2021,3296,3119,3041,3011,3158,3163,3220,3026,37.5
Australia,Australia,AUS,24/05/2021,3444,3195,3011,3181,3161,3290,3331,3148,37.5
Australia,Australia,AUS,31/05/2021,3287,3221,2999,3233,3230,3252,3389,3136,37.5
