Entity,Stato,Code,Date,2022,Media 2015-2019,2015,2016,2017,2018,2019,2020,2021,Median Age
Albania,Albania,ALB,31/01/2022,3294,2448,2490,2065,3129,2158,2397,2187,3002,34.3
Albania,Albania,ALB,28/02/2022,2752,1975,2139,1905,1845,2013,1974,2018,3773,34.3
Albania,Albania,ALB,31/03/2022,1892,1981,2051,1910,1817,2136,1990,1993,3447,34.3
Armenia,Armenia,ARM,31/01/2022,2789,2728,2582,2722,3027,2534,2773,2567,3013,36.6
Armenia,Armenia,ARM,28/02/2022,3239,2380,2363,2576,2442,2273,2247,2434,2418,36.6
Armenia,Armenia,ARM,31/03/2022,2679,2450,2763,2349,2568,2215,2353,2288,2836,36.6
Armenia,Armenia,ARM,30/04/2022,1993,2220,2442,2243,2246,1968,2203,2156,3361,36.6
Armenia,Armenia,ARM,31/05/2022,2100,2254,2197,2247,2323,2220,2285,2103,2633,36.6
Armenia,Armenia,ARM,30/06/2022,1879,2078,2288,2169,2103,1902,1929,2869,2290,36.6
Armenia,Armenia,ARM,31/07/2022,1869,2152,2176,2103,2063,2347,2069,2719,2247,36.6
Armenia,Armenia,ARM,31/08/2022,2006,2083,2149,2127,2174,1972,1994,2106,2241,36.6
Australia,Australia,AUS,05/01/2022,3316,2879,2925,2789,2895,2818,2966,2926,3029,37.5
Australia,Australia,AUS,12/01/2022,3724,2873,2772,2870,2897,2828,2997,2902,2950,37.5
Australia,Australia,AUS,19/01/2022,3878,2841,2770,2825,2806,2763,3041,2914,3148,37.5
Australia,Australia,AUS,26/01/2022,3780,2832,2768,2668,2887,2882,2957,3007,2944,37.5
Australia,Australia,AUS,02/02/2022,3729,2803,2680,2817,2744,2885,2890,2910,3068,37.5
Australia,Australia,AUS,09/02/2022,3548,2840,2878,2730,2911,2724,2957,2917,2962,37.5
Australia,Australia,AUS,16/02/2022,3405,2823,2749,2734,2849,2825,2958,3030,2934,37.5
Australia,Australia,AUS,23/02/2022,3395,2880,2740,2753,2958,2857,3094,3059,3048,37.5
Australia,Australia,AUS,01/03/2022,3364,2858,2788,2728,2908,2858,3008,3090,3069,37.5
Australia,Australia,AUS,08/03/2022,3202,2898,2846,2817,3017,2882,2926,2996,3117,37.5
Australia,Australia,AUS,15/03/2022,3336,2833,2738,2756,2785,2879,3009,2976,3084,37.5
Australia,Australia,AUS,22/03/2022,3334,2865,2828,2824,2885,2870,2920,3095,3037,37.5
Australia,Australia,AUS,29/03/2022,3396,2885,2812,2810,2858,2939,3005,3143,3094,37.5
Australia,Australia,AUS,05/04/2022,3427,2903,2849,2930,2988,2784,2962,3217,2954,37.5
Australia,Australia,AUS,12/04/2022,3351,2948,2962,2919,2966,2828,3065,3140,3251,37.5
Australia,Australia,AUS,19/04/2022,3464,2951,2877,2852,3011,2965,3051,3084,3242,37.5
